horizon,transformation,v0,v1
1,None,BLOCK,BLOCK
1,Encoding,LEAK,BLOCK
3,None,BLOCK,BLOCK
3,Encoding,LEAK,BLOCK
3,Fragmentation,LEAK,BLOCK
3,Recombination,LEAK,BLOCK
5,None,BLOCK,BLOCK
5,Encoding,LEAK,BLOCK
5,Fragmentation,LEAK,BLOCK
5,Recombination,LEAK,BLOCK
10,None,BLOCK,BLOCK
10,Encoding,LEAK,BLOCK
10,Fragmentation,LEAK,BLOCK
10,Recombination,LEAK,BLOCK
15,None,BLOCK,BLOCK
15,Encoding,LEAK,BLOCK
15,Fragmentation,LEAK,BLOCK
15,Recombination,LEAK,BLOCK
20,None,BLOCK,BLOCK
20,Encoding,LEAK,BLOCK
20,Fragmentation,LEAK,BLOCK
20,Recombination,LEAK,BLOCK
